Event_ID,Session_ID,User_ID,Product_ID,Date,Event_Type,Page,Event_Time
E00000111,S0007553,U000523,P000582,2025-01-28,Wishlist,Product,11:04:18
E00000112,S0003684,U001490,P000805,2024-02-12,Purchase,Product,19:23:17
E00000113,S0001994,U000564,P000646,2025-01-01,Add To Cart,Home,15:25:41
E00000114,S0004215,U001391,P000967,2024-05-01,Begin Checkout,Category,06:06:40
E00000115,S0001556,U001443,P000047,2025-02-12,Product View,Profile,11:28:27
E00000116,S0004457,U000140,P000046,2025-03-18,Page View,Home,01:09:11
E00000117,S0006224,U000482,P000945,2024-04-17,Wishlist,Home,09:18:25
E00000118,S0007529,U000608,P000590,2024-09-20,Product View,Cart,09:54:58
E00000119,S0003426,U000229,P000957,2024-04-19,Page View,Category,23:10:27
E00000120,S0007889,U001535,P000871,2024-09-12,Payment,Product,20:04:30
E00000121,S0002899,U000597,P000348,2024-08-22,Purchase,Checkout,19:55:52
E00000122,S0007557,U000578,P000880,2024-12-10,Category View,Category,17:49:23
E00000123,S0003217,U001387,P000577,2024-12-19,Begin Checkout,Product,08:11:31
E00000124,S0003161,U001827,P000250,2025-11-28,Page View,Checkout,10:52:54
E00000125,S0001235,U001043,P000838,2025-10-17,Remove From Cart,Profile,01:07:24
E00000126,S0000504,U000375,P000943,2024-07-30,Purchase,Category,19:56:18
E00000127,S0001327,U000521,P000276,2024-07-21,Category View,Profile,12:25:58
E00000128,S0004766,U001496,P000667,2024-08-11,Wishlist,Home,02:58:08
E00000129,S0004598,U000214,P000508,2024-02-13,Purchase,Category,15:19:28
E00000130,S0004404,U000631,P000756,2024-07-27,Category View,Home,19:33:30
E00000131,S0007879,U001541,P000644,2024-04-04,Product View,Home,12:08:06
E00000132,S0006119,U001005,P000152,2025-11-08,Wishlist,Category,21:31:56
E00000133,S0000857,U000996,P000634,2025-04-02,Category View,Profile,22:56:34
E00000134,S0005446,U000826,P000530,2025-10-03,Page View,Cart,11:21:25
E00000135,S0003227,U001028,P000399,2025-08-03,Payment,Search,09:23:28
E00000136,S0003055,U000104,P000877,2024-07-15,Page View,Profile,15:23:10
E00000137,S0007261,U001948,P000500,2024-08-29,Add To Cart,Home,08:55:10
E00000138,S0003170,U000283,P000006,2024-07-29,Search,Home,14:38:32
E00000139,S0006064,U000152,P000746,2025-10-10,Search,Product,07:02:29
E00000140,S0007878,U001495,P000545,2024-04-19,Search,Category,22:02:29
E00000141,S0007641,U001999,P000593,2024-06-14,Landing,Search,06:16:50
E00000142,S0001371,U000319,P000833,2025-02-04,Search,Home,22:09:27
E00000143,S0003116,U001622,P000876,2025-07-29,Category View,Search,20:39:54
E00000144,S0001963,U001233,P000652,2025-09-23,Add To Cart,Profile,01:31:01
E00000145,S0005520,U001705,P000265,2025-10-07,Purchase,Cart,20:21:06
E00000146,S0000756,U001266,P000319,2024-06-05,Payment,Search,20:05:10
E00000147,S0004588,U000271,P000711,2025-10-25,Page View,Profile,01:49:53
E00000148,S0007943,U000175,P000408,2024-05-13,Category View,Home,10:20:13
E00000149,S0008621,U000167,P000103,2025-08-11,Begin Checkout,Category,03:24:07
E00000150,S0009011,U001758,P000577,2024-09-12,Wishlist,Category,18:53:02
E00000151,S0002311,U000353,P000569,2024-07-19,Begin Checkout,Category,01:58:10
E00000152,S0008016,U000743,P000084,2024-07-10,Search,Category,14:49:44
E00000153,S0005160,U000078,P000932,2025-10-02,Remove From Cart,Cart,13:19:17
E00000154,S0007838,U000410,P000600,2024-06-11,Category View,Cart,21:40:50
E00000155,S0004881,U001676,P000283,2025-05-14,Page View,Category,00:46:37
E00000156,S0008987,U000463,P000990,2024-03-05,Purchase,Profile,04:14:43
E00000157,S0007671,U001516,P000385,2024-03-09,Remove From Cart,Profile,03:31:53
E00000158,S0006445,U001361,P000887,2024-08-31,Landing,Category,11:18:32
E00000159,S0006110,U001990,P000263,2025-02-06,Landing,Product,02:37:39
E00000160,S0009124,U000108,P000646,2025-01-31,Payment,Category,03:39:25
E00000161,S0004573,U001356,P000548,2024-08-18,Product View,Home,15:24:01
E00000162,S0009734,U001718,P000850,2025-04-19,Page View,Search,21:02:01
E00000163,S0001893,U001557,P000281,2025-10-18,Product View,Profile,23:41:59
E00000164,S0002928,U001437,P000961,2025-06-02,Category View,Cart,11:45:11
E00000165,S0002250,U001380,P000920,2024-01-03,Begin Checkout,Product,18:05:16
E00000166,S0008515,U000672,P000770,2024-07-08,Page View,Category,04:44:43
E00000167,S0002252,U001985,P000329,2024-05-15,Remove From Cart,Home,09:15:48
E00000168,S0005126,U001145,P000661,2024-10-15,Payment,Home,14:37:35
E00000169,S0008502,U001222,P000496,2025-09-05,Category View,Home,06:08:13
E00000170,S0008109,U000114,P000040,2024-12-14,Page View,Home,01:39:13
E00000171,S0001389,U000493,P000974,2024-11-30,Begin Checkout,Profile,15:34:35
E00000172,S0000023,U001250,P000295,2025-03-26,Page View,Profile,05:45:36
E00000173,S0003798,U001950,P000153,2024-03-19,Wishlist,Product,10:44:24
E00000174,S0009696,U001645,P000139,2024-03-27,Category View,Search,18:31:09
E00000175,S0005687,U001581,P000071,2024-12-04,Payment,Category,21:04:52
E00000176,S0008491,U001044,P000325,2025-06-06,Search,Checkout,06:57:27
E00000177,S0002891,U000708,P000395,2024-07-28,Begin Checkout,Cart,05:39:30
E00000178,S0001395,U001794,P000694,2025-10-12,Purchase,Search,13:37:52
E00000179,S0008553,U000830,P000790,2024-01-02,Begin Checkout,Cart,12:18:31
E00000180,S0002748,U000628,P000540,2025-01-13,Page View,Checkout,09:41:38
E00000181,S0007543,U000083,P000083,2025-08-04,Product View,Cart,14:17:48
E00000182,S0006644,U000480,P000668,2025-11-27,Add To Cart,Cart,23:10:15
E00000183,S0000969,U000867,P000907,2025-08-26,Remove From Cart,Profile,12:49:01
E00000184,S0001139,U000631,P000082,2024-12-01,Page View,Product,19:54:19
E00000185,S0002979,U001037,P000754,2024-08-15,Category View,Search,07:49:13
E00000186,S0004535,U000386,P000505,2024-05-21,Remove From Cart,Cart,22:00:17
E00000187,S0003922,U001317,P000364,2024-08-23,Begin Checkout,Cart,00:28:43
E00000188,S0001158,U000665,P000630,2025-10-27,Search,Cart,23:13:06
E00000189,S0002721,U001683,P000402,2024-12-30,Search,Category,16:48:24
E00000190,S0001419,U000870,P000861,2024-07-03,Begin Checkout,Category,10:05:50
E00000191,S0003435,U001695,P000014,2024-12-22,Search,Profile,00:41:16
E00000192,S0001266,U001810,P000980,2024-12-04,Purchase,Category,11:26:15
E00000193,S0006907,U000972,P000638,2025-08-10,Product View,Search,06:49:04
E00000194,S0006055,U001261,P000901,2024-06-22,Search,Home,22:53:27
E00000195,S0002858,U001919,P000124,2024-12-05,Payment,Home,18:03:29
E00000196,S0002176,U000736,P000289,2025-10-03,Payment,Category,18:42:50
E00000197,S0009328,U000197,P000607,2025-09-16,Add To Cart,Cart,20:01:56
E00000198,S0006458,U000644,P000165,2024-05-27,Add To Cart,Checkout,20:34:42
E00000199,S0006852,U000616,P000223,2025-10-27,Search,Cart,14:53:01
E00000200,S0008225,U000713,P000575,2024-01-12,Landing,Profile,22:30:25
E00000201,S0005792,U001342,P000746,2024-10-31,Search,Search,18:39:58
E00000202,S0004002,U001336,P000910,2024-10-11,Add To Cart,Category,03:17:38
E00000203,S0008436,U001547,P000030,2024-10-09,Search,Product,02:55:44
E00000204,S0008795,U000696,P000792,2025-10-30,Product View,Category,11:04:38
E00000205,S0004035,U001060,P000711,2024-08-24,Product View,Checkout,16:26:44
E00000206,S0007228,U000669,P000240,2024-10-28,Remove From Cart,Search,12:46:43
E00000207,S0004416,U001976,P000229,2024-02-13,Begin Checkout,Category,12:13:54
E00000208,S0005247,U000740,P000858,2025-03-21,Category View,Category,02:38:44
E00000209,S0004426,U000563,P000151,2024-09-08,Purchase,Category,06:15:50
E00000210,S0004659,U000273,P000044,2024-10-19,Begin Checkout,Category,21:19:24
E00000211,S0001825,U001703,P000226,2025-09-05,Add To Cart,Home,19:46:12
E00000212,S0004349,U001064,P000314,2024-12-01,Remove From Cart,Category,04:55:54
E00000213,S0009270,U000252,P000566,2024-10-10,Begin Checkout,Category,01:42:57
E00000214,S0007989,U001565,P000812,2025-08-24,Page View,Search,11:44:03
E00000215,S0002062,U000576,P000322,2024-11-10,Add To Cart,Product,11:41:10
E00000216,S0005155,U001829,P000126,2025-03-07,Landing,Profile,03:45:50
E00000217,S0009283,U001319,P000972,2024-11-18,Begin Checkout,Product,01:15:41
E00000218,S0000733,U001086,P000723,2024-07-20,Search,Home,09:19:47
E00000219,S0002536,U000666,P000246,2024-02-20,Add To Cart,Search,08:18:38
E00000220,S0000455,U001916,P000909,2025-03-29,Payment,Cart,22:55:25
E00000221,S0007574,U000441,P000470,2024-01-22,Payment,Home,22:25:21
E00000222,S0004716,U001128,P000630,2025-02-24,Search,Category,15:10:03
E00000223,S0002227,U000620,P000121,2025-02-03,Product View,Category,16:42:04
E00000224,S0003797,U001134,P000327,2024-07-28,Product View,Home,04:04:17
E00000225,S0006043,U000082,P000729,2024-01-19,Wishlist,Search,13:26:18
E00000226,S0002444,U001821,P000207,2025-04-29,Product View,Profile,23:23:30
E00000227,S0007843,U000805,P000591,2025-04-06,Purchase,Product,04:03:00
E00000228,S0002809,U001951,P000856,2024-04-25,Begin Checkout,Home,11:01:42
E00000229,S0008545,U000091,P000363,2025-05-04,Begin Checkout,Home,08:22:34
E00000230,S0002305,U000630,P000994,2024-03-24,Payment,Search,08:09:32
E00000231,S0002367,U000573,P000484,2025-02-22,Wishlist,Category,06:05:20
E00000232,S0009885,U000976,P000681,2024-03-31,Begin Checkout,Cart,19:33:12
E00000233,S0008718,U000372,P000980,2024-05-23,Purchase,Category,04:19:55
E00000234,S0002222,U000588,P000894,2025-05-24,Search,Cart,08:37:28
E00000235,S0007352,U000977,P000406,2024-03-12,Category View,Cart,12:26:25
E00000236,S0002829,U000192,P000103,2025-02-10,Page View,Product,00:04:54
E00000237,S0003472,U000914,P000856,2024-09-28,Landing,Product,19:19:43
E00000238,S0000804,U001750,P000117,2025-10-30,Wishlist,Home,19:41:34
E00000239,S0004601,U000940,P000007,2024-07-02,Wishlist,Search,19:37:05
E00000240,S0007036,U001489,P000830,2025-03-17,Wishlist,Product,19:46:22
E00000241,S0004951,U000797,P000615,2025-08-02,Add To Cart,Profile,02:36:55
E00000242,S0003169,U001413,P000823,2024-05-01,Wishlist,Product,05:06:48
E00000243,S0009474,U000610,P000129,2024-06-29,Remove From Cart,Profile,16:48:38
E00000244,S0000457,U001650,P000970,2025-05-15,Product View,Home,04:45:24
E00000245,S0008864,U000691,P000771,2025-04-24,Add To Cart,Checkout,15:43:25
E00000246,S0003176,U001848,P000660,2024-07-13,Wishlist,Search,07:33:32
E00000247,S0002115,U000473,P000219,2025-04-18,Wishlist,Category,16:02:20
E00000248,S0005134,U000017,P000354,2025-01-23,Category View,Profile,06:16:13
E00000249,S0000157,U000914,P000503,2025-01-13,Search,Product,10:41:54
E00000250,S0006022,U001634,P000153,2025-08-25,Begin Checkout,Cart,05:30:26
E00000251,S0001329,U001250,P000265,2025-07-13,Begin Checkout,Cart,03:59:52
E00000252,S0004345,U000524,P000505,2025-12-21,Wishlist,Home,20:34:32
E00000253,S0003845,U000914,P000173,2025-11-02,Wishlist,Home,01:10:51
E00000254,S0005172,U000854,P000009,2025-05-19,Payment,Cart,19:03:56
E00000255,S0009403,U000403,P000449,2024-12-15,Remove From Cart,Product,13:22:58
E00000256,S0000971,U001075,P000095,2025-03-30,Begin Checkout,Category,17:03:41
E00000257,S0002628,U000433,P000785,2025-03-09,Remove From Cart,Checkout,04:31:15
E00000258,S0001308,U000990,P000178,2024-08-19,Wishlist,Cart,13:28:19
E00000259,S0009135,U000865,P000118,2024-09-16,Search,Cart,01:46:58
E00000260,S0005388,U000929,P000077,2024-01-23,Wishlist,Profile,16:33:27
E00000261,S0003027,U000529,P000625,2024-10-18,Payment,Home,10:02:54
E00000262,S0009282,U000127,P000949,2025-01-04,Category View,Home,18:50:05
E00000263,S0000067,U001628,P000502,2024-05-18,Purchase,Category,15:05:46
E00000264,S0008263,U000911,P000947,2025-01-30,Search,Cart,07:31:38
E00000265,S0002865,U000498,P000073,2024-09-04,Landing,Home,00:09:31
E00000266,S0001073,U000976,P000547,2025-04-21,Category View,Checkout,13:53:14
E00000267,S0008736,U000660,P000215,2024-05-24,Remove From Cart,Checkout,18:59:14
E00000268,S0009262,U000735,P000507,2024-05-05,Wishlist,Checkout,17:48:37
E00000269,S0001307,U000345,P000047,2024-12-06,Product View,Search,21:05:16
E00000270,S0001225,U000879,P000365,2024-07-29,Category View,Product,04:21:38
E00000271,S0001492,U000034,P000982,2025-06-20,Begin Checkout,Search,18:17:49
E00000272,S0006856,U001686,P000564,2024-03-24,Page View,Cart,04:08:52
E00000273,S0005121,U001536,P000372,2024-08-23,Begin Checkout,Cart,04:49:34
E00000274,S0007232,U001606,P000123,2024-08-13,Purchase,Search,23:54:02
E00000275,S0009779,U001981,P000253,2024-03-23,Search,Product,08:46:44
E00000276,S0007855,U000092,P000142,2024-06-12,Payment,Profile,08:03:26
E00000277,S0005224,U000839,P000364,2024-11-01,Landing,Product,14:53:49
E00000278,S0004537,U000146,P000395,2025-02-26,Begin Checkout,Category,14:52:55
E00000279,S0009144,U001072,P000831,2024-01-13,Landing,Category,19:12:50
E00000280,S0006817,U000570,P000026,2024-01-09,Payment,Product,22:35:31
E00000281,S0004591,U000025,P000696,2025-01-11,Add To Cart,Product,03:11:09
E00000282,S0005418,U001231,P000646,2025-05-09,Category View,Product,07:36:08
E00000283,S0009174,U000472,P000526,2024-06-11,Search,Home,06:40:03
E00000284,S0009223,U001666,P000677,2024-01-12,Remove From Cart,Search,00:46:41
E00000285,S0005775,U001052,P000582,2024-06-06,Wishlist,Profile,23:30:03
E00000286,S0004920,U001852,P000587,2024-05-30,Search,Product,13:02:30
E00000287,S0004032,U000432,P000654,2024-11-20,Payment,Home,05:39:33
E00000288,S0008929,U000100,P000996,2025-10-10,Landing,Product,17:56:05
E00000289,S0009973,U001415,P000725,2024-02-11,Search,Checkout,21:05:25
E00000290,S0000136,U000960,P000865,2025-05-10,Landing,Profile,09:50:45
E00000291,S0000835,U000356,P000433,2024-12-10,Payment,Home,03:50:35
E00000292,S0002660,U001691,P000974,2025-04-16,Purchase,Profile,18:56:10
E00000293,S0000985,U001680,P000391,2025-07-26,Add To Cart,Profile,10:03:02
E00000294,S0003259,U001335,P000759,2025-02-03,Category View,Cart,18:54:04
E00000295,S0008212,U001526,P000018,2025-05-03,Wishlist,Product,17:56:12
E00000296,S0007079,U000332,P000196,2025-09-13,Product View,Category,08:59:28
E00000297,S0005044,U001575,P000517,2025-05-13,Page View,Profile,21:07:13
E00000298,S0008891,U000252,P000938,2024-12-01,Wishlist,Checkout,03:12:37
E00000299,S0006073,U000320,P000375,2025-12-31,Wishlist,Profile,22:38:09
E00000300,S0001812,U000243,P000092,2025-04-28,Remove From Cart,Checkout,08:24:35
E00000301,S0008653,U001093,P000608,2024-07-24,Page View,Product,04:00:09
E00000302,S0008236,U001454,P000115,2024-05-23,Add To Cart,Cart,16:56:55
E00000303,S0001833,U000937,P000108,2025-10-11,Category View,Product,02:22:30
E00000304,S0002295,U001558,P000565,2025-07-22,Page View,Profile,08:01:25
E00000305,S0003697,U000491,P000837,2025-11-11,Payment,Category,09:53:31
E00000306,S0006602,U000419,P000655,2024-06-07,Page View,Home,04:15:21
E00000307,S0006591,U000236,P000600,2025-10-12,Page View,Product,07:21:36
E00000308,S0001351,U000756,P000576,2024-10-13,Wishlist,Product,04:19:48
E00000309,S0002180,U001777,P000793,2024-07-21,Product View,Profile,19:12:50
E00000310,S0001697,U000413,P000584,2024-06-26,Remove From Cart,Product,20:57:12
E00000311,S0004884,U000681,P000243,2025-05-28,Page View,Checkout,06:04:03
E00000312,S0009056,U001908,P000098,2024-12-10,Begin Checkout,Search,20:22:27
E00000313,S0007300,U000862,P000114,2025-12-13,Landing,Search,18:37:05
E00000314,S0002128,U001402,P000657,2024-05-08,Remove From Cart,Product,11:18:42
E00000315,S0003723,U001686,P000019,2024-07-15,Purchase,Cart,09:04:28
E00000316,S0001249,U001290,P000494,2024-01-08,Remove From Cart,Product,11:34:08
E00000317,S0004151,U000206,P000995,2025-10-26,Category View,Home,13:21:34
E00000318,S0002628,U000433,P000496,2025-03-09,Add To Cart,Search,14:59:02
E00000319,S0004398,U000346,P000631,2025-10-16,Search,Product,00:05:49
E00000320,S0001507,U001281,P000888,2025-12-13,Add To Cart,Cart,01:16:30
E00000321,S0002426,U001024,P000060,2025-07-03,Product View,Category,13:37:41
E00000322,S0005072,U001259,P000929,2025-07-30,Product View,Profile,22:24:35
E00000323,S0009664,U000945,P000784,2024-03-27,Landing,Search,09:48:41
E00000324,S0007483,U001156,P000434,2024-10-09,Purchase,Product,07:21:45
E00000325,S0004554,U001000,P000084,2025-01-02,Product View,Profile,02:20:15
E00000326,S0001667,U001298,P000111,2024-04-08,Landing,Search,06:42:33
E00000327,S0001092,U000603,P000913,2024-01-16,Add To Cart,Category,15:29:10
E00000328,S0005784,U000270,P000152,2025-04-05,Wishlist,Category,23:38:41
E00000329,S0007246,U000404,P000359,2024-10-06,Search,Checkout,18:04:42
E00000330,S0009310,U001548,P000302,2025-07-16,Product View,Product,19:27:33
E00000331,S0000478,U001021,P000599,2025-11-01,Wishlist,Home,04:53:25
E00000332,S0008152,U000639,P000604,2025-07-27,Remove From Cart,Category,18:01:46
E00000333,S0008130,U001853,P000946,2025-09-29,Begin Checkout,Profile,20:27:37
E00000334,S0006474,U001213,P000748,2025-03-24,Purchase,Profile,08:42:14
E00000335,S0000095,U001183,P000675,2025-02-18,Purchase,Cart,06:31:16
E00000336,S0002995,U001022,P000627,2025-11-24,Landing,Checkout,05:23:44
E00000337,S0005179,U001271,P000719,2024-07-13,Wishlist,Category,17:54:17
E00000338,S0001787,U001132,P000260,2025-06-11,Landing,Checkout,01:52:14
E00000339,S0001401,U001750,P000755,2024-03-04,Purchase,Search,06:09:17
E00000340,S0006433,U000759,P000611,2024-03-07,Product View,Search,14:26:32
E00000341,S0001040,U001870,P000373,2024-04-13,Begin Checkout,Checkout,07:13:20
E00000342,S0003321,U000664,P000280,2024-02-17,Page View,Product,12:02:31
E00000343,S0002532,U000848,P000332,2024-10-15,Remove From Cart,Category,16:27:25
E00000344,S0004231,U001305,P000770,2025-12-27,Remove From Cart,Category,14:32:34
E00000345,S0000313,U000287,P000844,2024-11-19,Add To Cart,Checkout,22:34:45
E00000346,S0004794,U000590,P000515,2024-10-13,Add To Cart,Product,03:38:58
E00000347,S0003762,U001894,P000021,2025-05-27,Remove From Cart,Home,23:12:11
E00000348,S0003482,U001536,P000039,2024-12-16,Landing,Cart,20:09:14
E00000349,S0002593,U000693,P000214,2025-09-27,Search,Checkout,13:31:53
E00000350,S0009115,U000652,P000628,2025-03-28,Remove From Cart,Category,05:30:43
