Product_ID,Category,Subcategory,Brand,Product_Name,Supplier,Country_of_Origin,Price,Cost,Profit_Margin,Rating,Inventory,Status
P000070,Beauty,Skincare,L'Oréal,L'Oréal Beauty Product,NextGen Supply,Japan,41.64,28.21,32.25,4.5,350,Discontinued
P000071,Accessories,Watch,Fossil,Fossil Accessories Product,ABC Wholesale,India,107.06,55.99,47.7,4.5,208,Discontinued
P000072,Books,Business,HarperCollins,HarperCollins Books Product,Universal Traders,Vietnam,26.29,15.41,41.38,4.0,138,Active
P000073,Beauty,Skincare,Lakme,Lakme Beauty Product,NextGen Supply,Germany,76.32,50.15,34.29,3.8,398,Discontinued
P000074,Sports,Running Shoes,Puma,Future Ultimate,ABC Wholesale,India,199.61,107.93,45.93,4.6,84,Active
P000075,Electronics,Laptop,Apple,iPad Air,NextGen Supply,USA,1919.06,922.64,51.92,3.5,165,Discontinued
P000076,Accessories,Bag,Casio,Casio Accessories Product,Prime Distribution,China,70.59,50.01,29.15,3.7,53,Discontinued
P000077,Accessories,Wallet,Fossil,Fossil Accessories Product,NextGen Supply,South Korea,22.87,11.32,50.5,4.3,175,Active
P000078,Beauty,Haircare,L'Oréal,L'Oréal Beauty Product,Elite Imports,Germany,49.71,31.59,36.45,4.7,214,Discontinued
P000079,Accessories,Wallet,Casio,Casio Accessories Product,Elite Imports,Vietnam,146.47,68.56,53.19,4.9,70,Active
P000080,Beauty,Haircare,Lakme,Lakme Beauty Product,Global Supplies Ltd,India,22.99,14.15,38.45,3.7,229,Discontinued
P000081,Accessories,Watch,Casio,Casio Accessories Product,Prime Distribution,Vietnam,179.67,118.74,33.91,4.2,371,Active
P000082,Sports,Running Shoes,Adidas,Predator Elite,Universal Traders,India,334.39,241.6,27.75,4.7,56,Active
P000083,Home,Lighting,Philips,Philips Home Product,NextGen Supply,USA,461.83,247.81,46.34,3.7,372,Active
P000084,Toys,Outdoor,Mattel,Mattel Toys Product,Universal Traders,Japan,71.29,44.87,37.06,4.8,396,Active
P000085,Sports,Running Shoes,Nike,Air Zoom Pegasus 41,NextGen Supply,USA,434.44,272.02,37.39,3.5,411,Active
P000086,Electronics,Television,Samsung,Galaxy Tab S10,NextGen Supply,Japan,2302.77,1161.62,49.56,4.4,345,Discontinued
P000087,Fashion,Jackets,Levi's,Levi's Fashion Product,Elite Imports,Vietnam,109.9,52.9,51.87,3.7,230,Discontinued
P000088,Sports,Football,Under Armour,HOVR Phantom,Global Supplies Ltd,Vietnam,148.63,72.05,51.52,4.7,462,Active
P000089,Accessories,Watch,Casio,Casio Accessories Product,Prime Distribution,Germany,96.83,65.55,32.3,4.4,409,Active
P000090,Beauty,Haircare,Lakme,Lakme Beauty Product,Prime Distribution,Vietnam,37.86,24.97,34.05,3.7,342,Active
P000091,Home,Lighting,Philips,Philips Home Product,Global Supplies Ltd,Germany,335.27,173.47,48.26,4.8,78,Discontinued
P000092,Fashion,Jeans,Adidas,Adidas Fashion Product,NextGen Supply,Vietnam,162.48,86.44,46.8,4.8,261,Active
P000093,Accessories,Watch,Titan,Titan Accessories Product,Elite Imports,India,231.25,139.32,39.75,4.8,462,Active
P000094,Sports,Gym Equipment,Under Armour,Curry Flow,ABC Wholesale,USA,31.21,20.84,33.23,4.8,316,Discontinued
P000095,Home,Lighting,Philips,Philips Home Product,Elite Imports,Vietnam,275.97,187.35,32.11,4.1,497,Active
P000096,Beauty,Haircare,Maybelline,Maybelline Beauty Product,Elite Imports,India,69.2,39.67,42.67,4.0,262,Discontinued
P000097,Toys,Outdoor,Hasbro,Hasbro Toys Product,Prime Distribution,Japan,145.08,70.78,51.21,4.9,189,Active
P000098,Accessories,Wallet,Fossil,Fossil Accessories Product,Elite Imports,China,183.39,105.08,42.7,4.5,99,Active
P000099,Accessories,Bag,Casio,Casio Accessories Product,Universal Traders,South Korea,105.4,49.97,52.59,4.0,365,Discontinued
P000100,Books,Business,Oxford,Oxford Books Product,Elite Imports,USA,36.13,22.95,36.48,3.9,370,Active
P000101,Beauty,Makeup,L'Oréal,L'Oréal Beauty Product,Global Supplies Ltd,USA,52.53,37.39,28.82,4.2,375,Active
P000102,Electronics,Smartphone,Apple,iPad Air,ABC Wholesale,Vietnam,1030.88,508.92,50.63,4.3,309,Active
P000103,Home,Furniture,IKEA,IKEA Home Product,Universal Traders,USA,315.3,206.5,34.51,4.2,318,Active
P000104,Beauty,Haircare,Nivea,Nivea Beauty Product,ABC Wholesale,Japan,24.15,10.94,54.7,4.7,481,Active
P000105,Home,Kitchen,IKEA,IKEA Home Product,ABC Wholesale,Germany,249.84,184.53,26.14,4.5,253,Active
P000106,Beauty,Makeup,Nivea,Nivea Beauty Product,Global Supplies Ltd,India,33.6,18.74,44.23,3.9,378,Active
P000107,Electronics,Tablet,Lenovo,Yoga 9i,Global Supplies Ltd,Germany,2182.91,1492.0,31.65,5.0,486,Discontinued
P000108,Sports,Football,Adidas,Adizero Boston,Prime Distribution,South Korea,119.36,62.69,47.48,4.6,412,Active
P000109,Fashion,Jackets,Nike,Nike Fashion Product,Elite Imports,China,182.28,122.07,33.03,3.6,171,Active
P000110,Toys,Educational,LEGO,LEGO Toys Product,Prime Distribution,USA,85.52,63.41,25.85,4.3,487,Active
P000111,Home,Kitchen,Philips,Philips Home Product,ABC Wholesale,South Korea,698.26,482.69,30.87,4.2,58,Active
P000112,Beauty,Haircare,Nivea,Nivea Beauty Product,ABC Wholesale,China,64.3,29.2,54.59,4.3,252,Active
P000113,Sports,Running Shoes,Under Armour,Curry Flow,NextGen Supply,India,251.59,159.98,36.41,4.9,187,Active
P000114,Fashion,Jackets,Levi's,Levi's Fashion Product,NextGen Supply,Japan,52.67,24.42,53.64,3.6,272,Active
P000115,Fashion,Clothing,Adidas,Adidas Fashion Product,Elite Imports,Japan,123.88,91.03,26.52,4.5,296,Discontinued
P000116,Home,Lighting,Philips,Philips Home Product,Global Supplies Ltd,USA,399.14,228.48,42.76,4.9,36,Active
P000117,Beauty,Makeup,Nivea,Nivea Beauty Product,Prime Distribution,USA,32.2,23.97,25.56,4.1,481,Active
P000118,Electronics,Laptop,Dell,Inspiron 16,Global Supplies Ltd,USA,2086.85,996.48,52.25,3.8,347,Active
P000119,Electronics,Laptop,Sony,WH-1000XM5,Universal Traders,India,311.23,211.5,32.04,3.8,130,Active
P000120,Books,Business,Penguin,Penguin Books Product,Global Supplies Ltd,Vietnam,52.64,25.97,50.66,3.7,148,Active
P000121,Fashion,Clothing,Nike,Nike Fashion Product,Global Supplies Ltd,Vietnam,241.2,125.76,47.86,4.0,109,Active
P000122,Electronics,Headphones,Samsung,Galaxy Buds 3,Universal Traders,China,1902.31,1127.83,40.71,4.7,282,Active
P000123,Accessories,Watch,Titan,Titan Accessories Product,Universal Traders,China,184.54,133.35,27.74,4.5,174,Discontinued
P000124,Electronics,Headphones,Apple,AirPods Pro,Elite Imports,South Korea,403.71,267.95,33.63,4.2,480,Active
P000125,Books,Self Help,Oxford,Oxford Books Product,Global Supplies Ltd,India,22.3,14.27,36.01,4.3,186,Discontinued
P000126,Sports,Running Shoes,Under Armour,Curry Flow,NextGen Supply,China,430.81,277.99,35.47,4.7,389,Active
P000127,Toys,Educational,Mattel,Mattel Toys Product,Elite Imports,Vietnam,125.84,71.68,43.04,4.6,180,Discontinued
P000128,Books,Technology,Oxford,Oxford Books Product,ABC Wholesale,India,43.71,25.89,40.77,3.6,63,Active
P000129,Toys,Outdoor,LEGO,LEGO Toys Product,NextGen Supply,Vietnam,123.65,76.28,38.31,4.4,307,Active
P000130,Fashion,Jackets,Levi's,Levi's Fashion Product,NextGen Supply,USA,138.42,100.32,27.52,3.6,167,Active
P000131,Books,Business,Penguin,Penguin Books Product,Universal Traders,India,16.05,9.54,40.56,4.8,199,Active
P000132,Fashion,Clothing,Puma,Puma Fashion Product,Elite Imports,USA,177.07,120.45,31.98,4.4,365,Active
P000133,Sports,Football,Nike,Air Zoom Pegasus 41,NextGen Supply,USA,175.22,96.71,44.81,3.5,465,Active
P000134,Toys,Educational,LEGO,LEGO Toys Product,NextGen Supply,South Korea,146.05,69.74,52.25,4.3,212,Discontinued
P000135,Accessories,Watch,Casio,Casio Accessories Product,ABC Wholesale,Vietnam,183.18,125.12,31.7,4.4,63,Active
P000136,Home,Lighting,IKEA,IKEA Home Product,Global Supplies Ltd,South Korea,79.04,46.08,41.7,4.1,330,Discontinued
P000137,Toys,Educational,Mattel,Mattel Toys Product,Universal Traders,China,58.32,28.18,51.68,4.5,323,Discontinued
P000138,Sports,Football,Nike,Air Zoom Pegasus 41,Universal Traders,China,33.61,18.16,45.97,3.8,90,Active
P000139,Sports,Running Shoes,Puma,Future Ultimate,Elite Imports,South Korea,232.41,113.59,51.13,4.3,137,Active
P000140,Fashion,Shoes,Levi's,Levi's Fashion Product,Elite Imports,China,148.73,70.4,52.67,4.0,239,Discontinued
P000141,Toys,Educational,Mattel,Mattel Toys Product,Elite Imports,China,145.27,72.86,49.85,4.9,255,Active
P000142,Fashion,Shoes,Levi's,Levi's Fashion Product,Prime Distribution,Japan,184.88,112.26,39.28,4.1,178,Active
P000143,Beauty,Skincare,Lakme,Lakme Beauty Product,Global Supplies Ltd,Germany,52.49,31.98,39.07,3.8,417,Active
P000144,Books,Business,Oxford,Oxford Books Product,Prime Distribution,India,13.35,7.03,47.34,3.8,98,Active
P000145,Home,Kitchen,Prestige,Prestige Home Product,Elite Imports,USA,457.53,285.43,37.62,4.5,471,Active
P000146,Books,Technology,Penguin,Penguin Books Product,Global Supplies Ltd,Japan,30.99,16.76,45.92,3.9,48,Active
P000147,Fashion,Jeans,Puma,Puma Fashion Product,Elite Imports,China,35.93,25.13,30.06,3.6,462,Active
P000148,Toys,Outdoor,Mattel,Mattel Toys Product,Universal Traders,USA,113.45,52.45,53.77,4.9,312,Active
P000149,Books,Technology,Oxford,Oxford Books Product,Universal Traders,India,57.8,33.82,41.49,4.7,448,Active
P000150,Fashion,Clothing,Zara,Zara Fashion Product,Global Supplies Ltd,India,218.13,163.01,25.27,4.3,332,Active
P000151,Books,Technology,HarperCollins,HarperCollins Books Product,Elite Imports,Japan,48.27,31.55,34.64,3.6,343,Active
P000152,Fashion,Shoes,Puma,Puma Fashion Product,Universal Traders,South Korea,128.24,67.4,47.44,4.8,484,Active
P000153,Books,Business,Penguin,Penguin Books Product,NextGen Supply,India,55.67,30.23,45.7,4.5,359,Discontinued
P000154,Home,Lighting,Prestige,Prestige Home Product,Global Supplies Ltd,Vietnam,453.75,291.78,35.7,4.0,85,Active
P000155,Toys,Building Blocks,Hasbro,Hasbro Toys Product,Global Supplies Ltd,Vietnam,53.24,39.15,26.47,4.0,412,Discontinued
P000156,Beauty,Skincare,Maybelline,Maybelline Beauty Product,Prime Distribution,China,27.18,18.66,31.35,4.3,296,Active
P000157,Books,Self Help,Oxford,Oxford Books Product,Universal Traders,Japan,16.02,8.08,49.56,4.5,339,Active
P000158,Accessories,Bag,Fossil,Fossil Accessories Product,ABC Wholesale,South Korea,182.7,135.36,25.91,4.4,405,Discontinued
P000159,Beauty,Makeup,Maybelline,Maybelline Beauty Product,Elite Imports,USA,19.55,12.78,34.63,4.4,245,Discontinued
P000160,Sports,Running Shoes,Under Armour,Curry Flow,Prime Distribution,USA,314.19,223.67,28.81,3.6,266,Active
P000161,Fashion,Shoes,Zara,Zara Fashion Product,ABC Wholesale,China,233.67,124.27,46.82,4.9,95,Discontinued
P000162,Fashion,Jeans,Adidas,Adidas Fashion Product,ABC Wholesale,China,136.17,77.47,43.11,4.1,217,Active
P000163,Books,Self Help,Penguin,Penguin Books Product,ABC Wholesale,China,51.64,33.31,35.5,4.7,90,Active
P000164,Sports,Gym Equipment,Under Armour,HOVR Phantom,Elite Imports,Japan,319.21,230.39,27.82,3.5,130,Active
P000165,Toys,Building Blocks,LEGO,LEGO Toys Product,Prime Distribution,Vietnam,27.06,14.11,47.86,4.5,338,Discontinued
P000166,Fashion,Jeans,Nike,Nike Fashion Product,Universal Traders,Germany,24.6,14.87,39.55,3.9,93,Active
P000167,Toys,Outdoor,LEGO,LEGO Toys Product,ABC Wholesale,India,89.89,45.5,49.38,4.5,288,Active
P000168,Fashion,Shoes,Zara,Zara Fashion Product,Elite Imports,USA,151.64,97.16,35.93,5.0,149,Active
P000169,Books,Technology,Penguin,Penguin Books Product,Prime Distribution,South Korea,42.17,20.29,51.89,4.4,407,Active
P000170,Home,Kitchen,IKEA,IKEA Home Product,Universal Traders,Vietnam,653.6,328.45,49.75,4.7,257,Discontinued
P000171,Home,Furniture,IKEA,IKEA Home Product,NextGen Supply,USA,755.73,348.46,53.89,3.8,425,Active
P000172,Electronics,Television,Sony,PlayStation 5,Elite Imports,USA,1426.12,750.13,47.4,4.6,117,Active
P000173,Books,Business,Penguin,Penguin Books Product,ABC Wholesale,Vietnam,14.47,8.11,43.95,4.8,400,Discontinued
P000174,Toys,Educational,Mattel,Mattel Toys Product,Elite Imports,South Korea,79.65,57.93,27.27,4.3,430,Active
P000175,Toys,Building Blocks,LEGO,LEGO Toys Product,Universal Traders,USA,35.26,18.97,46.2,3.7,187,Active
P000176,Sports,Running Shoes,Under Armour,Curry Flow,NextGen Supply,Japan,195.23,90.33,53.73,4.8,200,Discontinued
P000177,Sports,Gym Equipment,Nike,Air Zoom Pegasus 41,NextGen Supply,Japan,200.76,138.59,30.97,4.5,35,Active
P000178,Accessories,Watch,Fossil,Fossil Accessories Product,Global Supplies Ltd,India,196.84,110.21,44.01,4.1,310,Active
P000179,Home,Kitchen,Prestige,Prestige Home Product,ABC Wholesale,Vietnam,363.49,171.95,52.69,3.7,207,Discontinued
P000180,Books,Technology,Oxford,Oxford Books Product,Prime Distribution,China,9.35,4.73,49.41,4.3,487,Active
P000181,Sports,Running Shoes,Puma,Velocity Nitro,Universal Traders,Vietnam,356.17,266.98,25.04,3.8,89,Active
P000182,Accessories,Wallet,Fossil,Fossil Accessories Product,Elite Imports,China,204.52,151.4,25.97,5.0,361,Active
P000183,Fashion,Jackets,Zara,Zara Fashion Product,ABC Wholesale,USA,64.1,42.49,33.71,4.6,109,Active
P000184,Beauty,Skincare,L'Oréal,L'Oréal Beauty Product,Prime Distribution,India,64.28,29.43,54.22,4.3,208,Discontinued
P000185,Home,Furniture,Prestige,Prestige Home Product,Global Supplies Ltd,Vietnam,327.56,217.85,33.49,4.2,230,Discontinued
P000186,Fashion,Jackets,Adidas,Adidas Fashion Product,NextGen Supply,China,145.99,95.48,34.6,4.0,469,Active
P000187,Home,Lighting,Philips,Philips Home Product,Global Supplies Ltd,USA,112.47,55.77,50.41,3.7,185,Active
P000188,Books,Technology,Oxford,Oxford Books Product,Global Supplies Ltd,Vietnam,18.21,13.42,26.3,3.9,340,Active
P000189,Fashion,Clothing,Zara,Zara Fashion Product,Universal Traders,Germany,63.17,40.91,35.24,4.6,329,Active
P000190,Electronics,Smartphone,Apple,iPhone 15 Pro,NextGen Supply,USA,1505.41,971.5,35.47,4.7,233,Active
P000191,Accessories,Wallet,Titan,Titan Accessories Product,ABC Wholesale,South Korea,239.6,142.53,40.51,4.7,370,Discontinued
P000192,Sports,Gym Equipment,Under Armour,HOVR Phantom,Global Supplies Ltd,India,236.61,140.85,40.47,3.8,330,Active
P000193,Books,Technology,Oxford,Oxford Books Product,NextGen Supply,USA,25.96,14.79,43.03,4.6,283,Active
P000194,Books,Technology,Penguin,Penguin Books Product,Global Supplies Ltd,Vietnam,31.38,15.45,50.76,3.6,216,Discontinued
P000195,Beauty,Makeup,Maybelline,Maybelline Beauty Product,Universal Traders,South Korea,28.45,19.32,32.09,4.2,283,Discontinued
P000196,Accessories,Bag,Casio,Casio Accessories Product,Global Supplies Ltd,China,236.86,142.5,39.84,5.0,130,Active
P000197,Electronics,Headphones,Apple,iPad Air,Universal Traders,USA,1687.51,997.62,40.88,4.3,453,Active
P000198,Toys,Building Blocks,LEGO,LEGO Toys Product,NextGen Supply,Vietnam,116.94,65.46,44.02,4.1,311,Active
P000199,Books,Technology,Oxford,Oxford Books Product,Global Supplies Ltd,Japan,34.22,23.25,32.06,3.9,339,Active
P000200,Home,Kitchen,IKEA,IKEA Home Product,ABC Wholesale,USA,789.63,487.48,38.26,4.0,93,Active
P000201,Toys,Educational,Hasbro,Hasbro Toys Product,Global Supplies Ltd,China,29.19,16.05,45.02,4.2,253,Active
P000202,Home,Lighting,Philips,Philips Home Product,ABC Wholesale,India,323.47,205.39,36.5,4.8,323,Active
P000203,Accessories,Wallet,Titan,Titan Accessories Product,ABC Wholesale,Japan,205.78,115.34,43.95,4.5,233,Active
P000204,Electronics,Tablet,HP,Pavilion Laptop,NextGen Supply,USA,2434.33,1517.91,37.65,3.8,46,Discontinued
P000205,Home,Lighting,Prestige,Prestige Home Product,NextGen Supply,Germany,623.07,351.45,43.59,4.7,144,Active
P000206,Fashion,Shoes,Adidas,Adidas Fashion Product,Elite Imports,Vietnam,137.26,78.77,42.61,3.8,276,Discontinued
P000207,Electronics,Television,Lenovo,ThinkPad X1 Carbon,Prime Distribution,Germany,913.87,592.8,35.13,4.3,180,Active
P000208,Accessories,Bag,Titan,Titan Accessories Product,Universal Traders,Vietnam,172.21,122.32,28.97,4.5,431,Active
P000209,Accessories,Watch,Fossil,Fossil Accessories Product,ABC Wholesale,Germany,81.64,59.8,26.75,5.0,414,Active
P000210,Beauty,Makeup,Nivea,Nivea Beauty Product,Elite Imports,Vietnam,47.04,34.36,26.96,4.6,167,Active
P000211,Toys,Building Blocks,Mattel,Mattel Toys Product,Prime Distribution,Vietnam,15.89,11.7,26.37,3.6,493,Discontinued
P000212,Sports,Running Shoes,Under Armour,HOVR Phantom,Universal Traders,Vietnam,468.52,308.69,34.11,3.7,335,Active
P000213,Beauty,Haircare,L'Oréal,L'Oréal Beauty Product,Universal Traders,India,52.85,24.61,53.43,4.1,387,Discontinued
P000214,Fashion,Shoes,Adidas,Adidas Fashion Product,Universal Traders,India,133.93,97.84,26.95,4.8,264,Active
P000215,Sports,Gym Equipment,Puma,Velocity Nitro,Global Supplies Ltd,USA,72.05,44.83,37.78,4.3,390,Active
P000216,Home,Furniture,Philips,Philips Home Product,Global Supplies Ltd,USA,326.64,195.53,40.14,4.9,466,Active
P000217,Electronics,Television,Apple,iPad Air,Universal Traders,China,2331.87,1283.72,44.95,4.2,348,Discontinued
P000218,Home,Kitchen,Prestige,Prestige Home Product,ABC Wholesale,India,649.92,356.94,45.08,4.6,351,Active
P000219,Home,Lighting,IKEA,IKEA Home Product,ABC Wholesale,USA,246.59,160.86,34.77,3.8,332,Discontinued
P000220,Toys,Building Blocks,Hasbro,Hasbro Toys Product,Global Supplies Ltd,Japan,103.7,52.41,49.46,3.7,185,Active
P000221,Electronics,Laptop,Sony,PlayStation 5,Elite Imports,USA,777.44,426.73,45.11,4.4,313,Active
P000222,Sports,Running Shoes,Puma,Future Ultimate,NextGen Supply,China,248.74,123.85,50.21,4.5,492,Active
P000223,Fashion,Jackets,Puma,Puma Fashion Product,Universal Traders,India,81.36,39.87,51.0,3.7,402,Active
P000224,Toys,Outdoor,Hasbro,Hasbro Toys Product,Elite Imports,USA,85.25,55.35,35.07,3.8,146,Active
