Session_ID,User_ID,Date,Device,Operating_System,Browser,Traffic_Source,Session_Duration_Min,Page_Views,Bounce,Converted
S0000270,U001455,2025-02-20,Desktop,Windows,Edge,YouTube,22,12,False,False
S0000271,U001377,2024-10-09,Desktop,Windows,Safari,Referral,17,1,True,False
S0000272,U001525,2024-10-12,Tablet,Windows,Firefox,Facebook,19,12,False,False
S0000273,U001361,2025-08-22,Mobile,Windows,Safari,Facebook,53,9,False,False
S0000274,U001418,2025-12-19,Desktop,Android,Safari,Referral,36,4,False,False
S0000275,U000621,2025-12-22,Desktop,Windows,Safari,Instagram,16,1,True,False
S0000276,U001455,2024-06-04,Desktop,Android,Chrome,Direct,53,8,False,False
S0000277,U000136,2025-12-08,Desktop,Android,Safari,Referral,15,12,False,False
S0000278,U000146,2024-07-21,Tablet,Android,Firefox,Paid Search,50,2,False,False
S0000279,U001852,2024-05-31,Tablet,iOS,Firefox,Paid Search,38,11,False,False
S0000280,U001632,2025-08-19,Tablet,Windows,Firefox,Instagram,25,11,False,False
S0000281,U000786,2024-10-03,Desktop,iOS,Safari,Facebook,54,7,False,False
S0000282,U000990,2024-07-01,Tablet,Windows,Chrome,Facebook,50,6,False,False
S0000283,U001501,2024-04-12,Mobile,macOS,Safari,Instagram,5,6,False,False
S0000284,U000941,2025-10-27,Mobile,Windows,Safari,Referral,22,5,False,False
S0000285,U000955,2024-08-13,Mobile,Windows,Firefox,YouTube,39,11,False,False
S0000286,U001347,2024-05-21,Tablet,Android,Safari,Referral,29,1,True,False
S0000287,U001217,2025-01-02,Mobile,Android,Chrome,Organic Search,10,11,False,False
S0000288,U001002,2025-06-25,Mobile,macOS,Safari,Organic Search,52,12,False,False
S0000289,U001428,2025-06-01,Desktop,macOS,Chrome,Email,54,11,False,False
S0000290,U001402,2024-02-03,Tablet,iOS,Chrome,Referral,7,7,False,True
S0000291,U001889,2024-01-13,Tablet,Windows,Safari,Facebook,38,10,False,False
S0000292,U000348,2024-05-24,Mobile,macOS,Firefox,Facebook,23,8,False,False
S0000293,U000797,2025-10-10,Tablet,Android,Edge,YouTube,42,3,False,False
S0000294,U001530,2024-03-28,Desktop,Windows,Firefox,Organic Search,32,11,False,False
S0000295,U000801,2024-11-11,Tablet,Windows,Firefox,Instagram,28,7,False,False
S0000296,U000110,2025-09-16,Desktop,iOS,Safari,YouTube,48,8,False,False
S0000297,U000156,2024-10-11,Tablet,iOS,Chrome,Email,6,7,False,False
S0000298,U001451,2025-01-12,Desktop,macOS,Chrome,Instagram,27,12,False,False
S0000299,U000648,2024-02-09,Tablet,macOS,Chrome,Paid Search,37,6,False,False
S0000300,U000043,2024-08-13,Desktop,Android,Edge,Direct,15,4,False,False
S0000301,U001946,2025-10-11,Tablet,Android,Firefox,YouTube,17,6,False,False
S0000302,U001403,2025-10-29,Mobile,Windows,Edge,YouTube,39,7,False,True
S0000303,U000179,2024-08-21,Tablet,iOS,Safari,Referral,58,10,False,False
S0000304,U000740,2024-05-03,Tablet,macOS,Edge,Paid Search,36,5,False,False
S0000305,U001729,2025-08-17,Mobile,iOS,Edge,Referral,37,7,False,False
S0000306,U001106,2025-12-30,Mobile,macOS,Edge,Direct,41,1,True,False
S0000307,U001006,2024-02-04,Tablet,Windows,Safari,Facebook,49,6,False,False
S0000308,U000369,2024-08-20,Mobile,Android,Safari,Facebook,9,4,False,True
S0000309,U000479,2025-05-20,Mobile,Windows,Safari,YouTube,26,10,False,False
S0000310,U000855,2025-04-07,Mobile,macOS,Edge,Referral,14,2,False,False
S0000311,U000958,2024-03-18,Tablet,iOS,Firefox,Email,44,11,False,True
S0000312,U000672,2025-07-21,Mobile,Android,Edge,Organic Search,52,7,False,True
S0000313,U000287,2024-11-19,Desktop,Android,Firefox,Referral,27,4,False,False
S0000314,U001934,2024-11-02,Tablet,iOS,Edge,Facebook,30,6,False,False
S0000315,U001052,2025-04-09,Desktop,Windows,Chrome,Email,52,2,False,True
S0000316,U000518,2024-08-15,Mobile,Windows,Edge,Direct,55,12,False,False
S0000317,U000503,2025-07-31,Desktop,iOS,Safari,Email,20,9,False,False
S0000318,U000361,2024-05-06,Tablet,Android,Firefox,YouTube,48,6,False,False
S0000319,U000267,2024-02-02,Tablet,Android,Chrome,Email,6,2,False,False
S0000320,U001923,2025-06-30,Desktop,iOS,Safari,Direct,54,9,False,True
S0000321,U001710,2025-06-07,Mobile,Windows,Chrome,Paid Search,43,2,False,False
S0000322,U001915,2025-12-22,Mobile,macOS,Safari,Organic Search,42,3,False,False
S0000323,U000205,2025-05-09,Desktop,macOS,Safari,Email,52,4,False,False
S0000324,U000553,2025-11-22,Tablet,iOS,Safari,Direct,26,11,False,False
S0000325,U001288,2024-04-04,Mobile,macOS,Firefox,Facebook,33,2,False,False
S0000326,U001297,2024-12-13,Tablet,macOS,Chrome,Direct,22,1,True,False
S0000327,U001621,2025-05-11,Mobile,Android,Safari,Instagram,43,11,False,False
S0000328,U000313,2025-03-07,Mobile,Windows,Edge,Direct,14,6,False,False
S0000329,U000394,2024-05-15,Mobile,macOS,Firefox,YouTube,46,5,False,False
S0000330,U000447,2024-07-28,Desktop,Windows,Edge,Organic Search,29,2,False,False
