Order_ID,User_ID,Session_ID,Product_ID,Order_Date,Quantity,Unit_Price,Discount,Revenue,Cost,Profit,Payment_Method,Shipping_Method,Order_Status
O0000047,U000929,S0005388,P000833,2024-01-23,4,32.51,25,97.53,77.28,20.25,Credit Card,Standard,Completed
O0000048,U000836,S0007634,P000036,2024-03-26,5,253.69,20,1014.76,792.45,222.31,Credit Card,Standard,Returned
O0000049,U000667,S0005274,P000067,2024-04-06,3,74.41,0,223.23,157.5,65.73,UPI,Same Day,Returned
O0000050,U001204,S0004527,P000665,2025-03-03,4,32.14,10,115.7,87.2,28.5,PayPal,Standard,Returned
O0000051,U000839,S0009399,P000236,2024-07-05,2,24.67,10,44.41,26.66,17.75,UPI,Same Day,Cancelled
O0000052,U001904,S0000829,P000677,2025-10-08,1,190.74,30,133.52,125.5,8.02,PayPal,Express,Completed
O0000053,U000797,S0004951,P000847,2025-08-02,1,123.77,25,92.83,91.38,1.45,PayPal,Same Day,Completed
O0000054,U000907,S0000217,P000520,2024-03-08,3,212.45,25,478.01,468.78,9.23,UPI,Standard,Completed
O0000055,U001678,S0003644,P000089,2025-02-03,1,96.83,20,77.46,65.55,11.91,Net Banking,Standard,Completed
O0000056,U001475,S0005935,P000189,2024-08-03,4,63.17,25,189.51,163.64,25.87,PayPal,Express,Cancelled
O0000057,U000065,S0005630,P000153,2025-10-10,3,55.67,5,158.66,90.69,67.97,UPI,Standard,Completed
O0000058,U000810,S0009978,P000045,2025-12-17,2,290.57,30,406.8,294.96,111.84,Net Banking,Express,Returned
O0000059,U000717,S0004001,P000835,2025-10-09,5,505.44,10,2274.48,1610.0,664.48,UPI,Express,Completed
O0000060,U001218,S0009213,P000472,2025-03-07,3,13.08,20,31.39,19.23,12.16,Debit Card,Standard,Completed
O0000061,U000380,S0008997,P000050,2025-05-15,5,2401.22,5,11405.79,7268.35,4137.44,Debit Card,Same Day,Completed
O0000062,U001265,S0003216,P000860,2025-02-01,1,1748.41,0,1748.41,1031.52,716.89,UPI,Standard,Completed
O0000063,U000511,S0008582,P000288,2024-05-25,4,131.31,20,420.19,314.36,105.83,Net Banking,Same Day,Returned
O0000064,U001426,S0003737,P000808,2024-12-19,3,341.55,30,717.25,766.56,-49.31,Net Banking,Same Day,Returned
O0000065,U000675,S0002257,P000469,2024-08-06,1,722.76,10,650.48,455.3,195.18,Net Banking,Express,Returned
O0000066,U001807,S0005424,P000866,2024-10-08,2,494.43,10,889.97,573.1,316.87,Credit Card,Standard,Cancelled
O0000067,U000872,S0009687,P000609,2024-10-31,3,211.65,10,571.46,421.02,150.44,Net Banking,Same Day,Completed
O0000068,U001545,S0000232,P000752,2024-10-14,3,195.57,15,498.7,319.17,179.53,Debit Card,Same Day,Completed
O0000069,U001588,S0002875,P000958,2024-01-18,2,67.72,0,135.44,99.32,36.12,Net Banking,Same Day,Completed
O0000070,U001564,S0001320,P000777,2025-04-19,1,234.28,30,164.0,123.72,40.28,Net Banking,Standard,Returned
O0000071,U001672,S0009079,P000389,2025-10-31,2,173.37,30,242.72,211.14,31.58,UPI,Express,Completed
O0000072,U001844,S0000238,P000282,2024-06-04,1,72.94,5,69.29,42.22,27.07,Net Banking,Same Day,Completed
O0000073,U001820,S0007413,P000761,2024-10-27,3,163.98,15,418.15,314.37,103.78,Net Banking,Same Day,Completed
O0000074,U001659,S0008567,P000556,2025-06-06,5,18.6,15,79.05,56.45,22.6,Net Banking,Same Day,Completed
O0000075,U001975,S0007583,P000845,2025-06-04,3,728.84,25,1639.89,1347.81,292.08,UPI,Same Day,Returned
O0000076,U000421,S0007717,P000510,2024-12-12,5,36.11,25,135.41,96.0,39.41,PayPal,Standard,Completed
O0000077,U000520,S0005673,P000328,2025-07-07,4,359.4,10,1293.84,807.56,486.28,Credit Card,Express,Completed
O0000078,U001050,S0006256,P000417,2025-05-08,5,33.61,0,168.05,117.05,51.0,UPI,Standard,Completed
O0000079,U000463,S0003970,P000840,2024-10-01,1,52.7,5,50.06,28.73,21.33,UPI,Standard,Completed
O0000080,U000797,S0007929,P000473,2025-12-11,5,379.51,15,1612.92,857.95,754.97,Credit Card,Express,Returned
O0000081,U001707,S0000461,P000052,2024-09-11,5,130.61,20,522.44,382.05,140.39,Net Banking,Same Day,Completed
O0000082,U001831,S0005258,P000536,2025-12-30,3,35.51,20,85.22,71.4,13.82,Net Banking,Express,Completed
O0000083,U000310,S0001280,P000478,2024-12-29,4,44.75,25,134.25,89.2,45.05,UPI,Standard,Completed
O0000084,U000011,S0001564,P000752,2024-11-30,2,195.57,0,391.14,212.78,178.36,Debit Card,Same Day,Completed
O0000085,U001370,S0008773,P000499,2025-08-15,3,510.06,20,1224.14,933.72,290.42,Credit Card,Express,Cancelled
O0000086,U000885,S0002353,P000250,2025-04-23,1,108.72,25,81.54,49.47,32.07,Credit Card,Same Day,Completed
O0000087,U001220,S0000252,P000389,2024-05-21,4,173.37,20,554.78,422.28,132.5,PayPal,Standard,Completed
O0000088,U000664,S0001731,P000061,2025-06-22,3,508.1,5,1448.09,743.64,704.45,PayPal,Express,Completed
O0000089,U000912,S0006491,P000094,2024-06-27,3,31.21,10,84.27,62.52,21.75,PayPal,Express,Completed
O0000090,U001806,S0009025,P000853,2025-05-15,4,208.23,10,749.63,463.0,286.63,Credit Card,Express,Completed
O0000091,U000582,S0008557,P000962,2024-06-29,2,11.58,10,20.84,11.04,9.8,Net Banking,Same Day,Completed
O0000092,U000421,S0007717,P000960,2024-12-12,5,86.0,20,344.0,282.75,61.25,Net Banking,Standard,Completed
O0000093,U000262,S0006525,P000845,2025-02-22,2,728.84,20,1166.14,898.54,267.6,Credit Card,Same Day,Completed
O0000094,U000651,S0001503,P000458,2025-06-27,4,11.27,0,45.08,25.28,19.8,UPI,Standard,Completed
O0000095,U000571,S0009898,P000672,2024-12-17,3,14.54,5,41.44,28.68,12.76,UPI,Standard,Completed
O0000096,U001119,S0005199,P000388,2025-12-21,1,52.26,20,41.81,30.89,10.92,PayPal,Same Day,Completed
O0000097,U001134,S0004986,P000099,2025-08-09,4,105.4,20,337.28,199.88,137.4,Credit Card,Same Day,Cancelled
O0000098,U000579,S0008827,P000637,2025-01-21,3,46.77,10,126.28,85.47,40.81,PayPal,Same Day,Returned
O0000099,U001061,S0004830,P000972,2024-04-30,2,116.05,30,162.47,138.04,24.43,PayPal,Same Day,Completed
O0000100,U001174,S0007349,P000090,2024-02-13,3,37.86,10,102.22,74.91,27.31,Credit Card,Standard,Returned
O0000101,U000056,S0006747,P000796,2024-06-28,4,175.76,25,527.28,519.52,7.76,Debit Card,Standard,Completed
O0000102,U001203,S0001207,P000714,2025-11-18,2,776.54,15,1320.12,779.12,541.0,PayPal,Same Day,Completed
O0000103,U000937,S0003485,P000918,2025-03-13,2,17.53,15,29.8,20.14,9.66,PayPal,Express,Returned
O0000104,U001957,S0002079,P000850,2025-07-23,2,179.6,0,359.2,235.14,124.06,PayPal,Express,Returned
O0000105,U001056,S0007830,P000273,2025-02-19,1,138.25,25,103.69,100.51,3.18,Debit Card,Standard,Completed
O0000106,U000453,S0001846,P000190,2024-03-13,1,1505.41,15,1279.6,971.5,308.1,Debit Card,Express,Completed
O0000107,U001356,S0002095,P000220,2025-12-12,2,103.7,30,145.18,104.82,40.36,PayPal,Express,Completed
O0000108,U000133,S0001398,P000462,2025-03-02,4,164.43,10,591.95,337.72,254.23,PayPal,Express,Cancelled
O0000109,U000382,S0009340,P000392,2024-04-10,1,355.46,30,248.82,205.75,43.07,UPI,Same Day,Cancelled
O0000110,U000780,S0001426,P000467,2024-06-12,4,146.66,15,498.64,384.64,114.0,Credit Card,Same Day,Cancelled
O0000111,U001365,S0005325,P000827,2024-02-10,5,333.47,10,1500.62,1088.85,411.77,Credit Card,Express,Returned
O0000112,U000318,S0003404,P000276,2025-05-28,5,41.08,30,143.78,138.45,5.33,PayPal,Express,Completed
O0000113,U000491,S0003745,P000041,2025-03-22,1,59.02,20,47.22,36.05,11.17,Net Banking,Express,Completed
O0000114,U000433,S0006354,P000529,2024-06-01,1,127.62,0,127.62,79.13,48.49,PayPal,Standard,Cancelled
O0000115,U000566,S0002820,P000262,2025-10-21,3,233.18,30,489.68,336.24,153.44,PayPal,Express,Completed
O0000116,U000607,S0006645,P000187,2024-11-09,2,112.47,15,191.2,111.54,79.66,Credit Card,Standard,Completed
O0000117,U000529,S0001105,P000631,2025-07-13,5,649.98,15,2762.41,2071.15,691.26,PayPal,Standard,Cancelled
O0000118,U000795,S0003269,P000745,2024-08-30,4,247.37,30,692.64,516.6,176.04,Net Banking,Express,Returned
O0000119,U001809,S0004744,P000813,2024-09-05,3,138.27,15,352.59,223.02,129.57,Credit Card,Standard,Cancelled
O0000120,U000728,S0007059,P000925,2025-03-24,3,67.31,0,201.93,99.21,102.72,UPI,Express,Completed
O0000121,U000928,S0000618,P000346,2024-08-28,2,197.61,20,316.18,203.8,112.38,UPI,Standard,Returned
O0000122,U001658,S0003872,P000851,2025-12-28,3,246.11,25,553.75,465.03,88.72,Credit Card,Same Day,Completed
O0000123,U001253,S0006499,P000954,2024-03-30,1,10.38,0,10.38,7.19,3.19,Credit Card,Express,Completed
O0000124,U000473,S0002115,P000893,2025-04-18,5,2081.37,25,7805.14,7049.0,756.14,PayPal,Standard,Completed
O0000125,U000847,S0009195,P000452,2025-07-29,3,442.61,25,995.87,781.89,213.98,UPI,Express,Completed
O0000126,U000547,S0004714,P000239,2024-03-08,4,429.19,25,1287.57,927.44,360.13,Credit Card,Express,Completed
O0000127,U000571,S0002405,P000159,2025-05-06,5,19.55,0,97.75,63.9,33.85,UPI,Same Day,Cancelled
O0000128,U000419,S0006074,P000904,2024-09-11,1,79.33,30,55.53,46.31,9.22,UPI,Same Day,Completed
O0000129,U000138,S0001911,P000687,2025-12-21,5,357.63,15,1519.93,1070.9,449.03,PayPal,Standard,Completed
O0000130,U001808,S0001372,P000572,2024-01-16,1,48.36,0,48.36,30.58,17.78,PayPal,Standard,Completed
O0000131,U001695,S0003435,P000767,2024-12-22,2,55.73,15,94.74,78.98,15.76,Debit Card,Express,Completed
O0000132,U001504,S0007124,P000633,2025-11-23,2,152.69,10,274.84,209.12,65.72,Credit Card,Same Day,Returned
O0000133,U000692,S0008032,P000362,2025-02-18,3,957.91,15,2442.67,1759.98,682.69,PayPal,Same Day,Cancelled
O0000134,U001492,S0009573,P000992,2024-10-22,1,147.32,5,139.95,78.76,61.19,Debit Card,Same Day,Completed
O0000135,U000393,S0002916,P000589,2025-05-02,1,497.66,15,423.01,276.78,146.23,UPI,Standard,Completed
O0000136,U000210,S0001826,P000172,2024-03-31,4,1426.12,0,5704.48,3000.52,2703.96,PayPal,Standard,Completed
O0000137,U001915,S0000719,P000700,2025-11-03,4,49.85,30,139.58,110.76,28.82,PayPal,Express,Completed
O0000138,U000185,S0004943,P000496,2025-09-06,5,32.44,25,121.65,97.25,24.4,Credit Card,Standard,Completed
O0000139,U000423,S0003285,P000219,2025-10-10,5,246.59,20,986.36,804.3,182.06,UPI,Express,Completed
O0000140,U001632,S0002359,P000131,2024-09-01,5,16.05,30,56.17,47.7,8.47,Net Banking,Standard,Returned
O0000141,U000232,S0002687,P000903,2024-11-30,4,70.51,25,211.53,186.96,24.57,PayPal,Standard,Returned
O0000142,U000438,S0003914,P000771,2024-04-13,4,23.34,0,93.36,43.64,49.72,Net Banking,Standard,Completed
O0000143,U000356,S0003630,P000202,2025-02-20,5,323.47,15,1374.75,1026.95,347.8,Credit Card,Express,Completed
O0000144,U001314,S0002651,P000401,2024-08-16,5,57.76,0,288.8,155.55,133.25,Debit Card,Express,Completed
O0000145,U001961,S0004287,P000333,2024-05-10,4,23.62,30,66.14,52.6,13.54,Debit Card,Express,Completed
O0000146,U000306,S0003786,P000169,2024-09-15,4,42.17,15,143.38,81.16,62.22,Credit Card,Express,Completed
O0000147,U001573,S0005052,P000417,2024-10-07,5,33.61,15,142.84,117.05,25.79,UPI,Standard,Completed
O0000148,U001072,S0002807,P000144,2025-10-16,1,13.35,20,10.68,7.03,3.65,Credit Card,Express,Cancelled
O0000149,U000470,S0003271,P000016,2024-07-25,3,203.63,0,610.89,318.78,292.11,Credit Card,Same Day,Completed
O0000150,U001342,S0001640,P000221,2024-12-01,2,777.44,10,1399.39,853.46,545.93,Debit Card,Standard,Cancelled
O0000151,U000663,S0007702,P000622,2024-07-07,1,316.91,15,269.37,230.5,38.87,Debit Card,Same Day,Returned
O0000152,U001419,S0002630,P000677,2024-08-02,5,190.74,0,953.7,627.5,326.2,Net Banking,Express,Returned
O0000153,U000198,S0005315,P000916,2024-10-20,1,93.75,10,84.38,43.56,40.82,PayPal,Standard,Completed
O0000154,U001557,S0004461,P000446,2024-05-23,4,130.34,0,521.36,320.24,201.12,PayPal,Same Day,Completed
O0000155,U001331,S0004855,P000432,2025-11-03,3,274.49,15,699.95,545.88,154.07,Credit Card,Same Day,Completed
O0000156,U001328,S0004692,P000915,2024-01-09,5,52.61,30,184.13,159.65,24.48,PayPal,Express,Completed
O0000157,U000949,S0004201,P000025,2025-05-30,1,154.78,10,139.3,109.8,29.5,UPI,Same Day,Completed
O0000158,U001636,S0005254,P000254,2024-07-26,4,630.74,30,1766.07,1563.64,202.43,Credit Card,Standard,Completed
O0000159,U001400,S0002657,P000396,2025-02-01,4,106.81,30,299.07,221.52,77.55,PayPal,Express,Completed
O0000160,U001081,S0007131,P000095,2024-07-17,5,275.97,15,1172.87,936.75,236.12,Credit Card,Same Day,Completed
O0000161,U001526,S0002650,P000680,2024-09-23,2,103.05,15,175.19,139.3,35.89,UPI,Same Day,Completed
O0000162,U001335,S0002603,P000491,2025-12-22,2,43.14,20,69.02,56.0,13.02,UPI,Same Day,Completed
O0000163,U000960,S0001523,P000816,2024-10-16,5,22.11,25,82.91,76.35,6.56,Credit Card,Standard,Completed
O0000164,U001333,S0009874,P000265,2024-10-30,5,47.58,25,178.42,117.45,60.97,PayPal,Same Day,Completed
O0000165,U000713,S0008188,P000418,2025-05-04,2,244.81,15,416.18,335.1,81.08,Credit Card,Express,Completed
O0000166,U000868,S0009372,P000639,2024-04-24,3,337.54,0,1012.62,574.5,438.12,Credit Card,Same Day,Completed
O0000167,U001540,S0007392,P000231,2025-03-22,4,223.8,25,671.4,462.64,208.76,UPI,Standard,Completed
O0000168,U000274,S0007784,P000307,2024-07-22,5,15.87,5,75.38,45.5,29.88,UPI,Standard,Cancelled
O0000169,U000967,S0002815,P000264,2024-11-25,3,2267.67,20,5442.41,4908.81,533.6,Debit Card,Express,Completed
O0000170,U000279,S0005760,P000685,2024-12-31,2,180.36,30,252.5,235.72,16.78,Net Banking,Express,Completed
O0000171,U000991,S0004722,P000570,2025-09-13,1,15.15,30,10.61,7.7,2.91,PayPal,Same Day,Completed
O0000172,U001748,S0002621,P000275,2024-02-22,2,787.13,25,1180.69,1028.38,152.31,Credit Card,Standard,Completed
O0000173,U001897,S0002856,P000708,2025-10-04,1,182.86,20,146.29,90.3,55.99,Credit Card,Same Day,Completed
O0000174,U000732,S0002484,P000840,2025-08-22,5,52.7,15,223.97,143.65,80.32,Debit Card,Express,Cancelled
O0000175,U000024,S0005157,P000578,2025-08-04,1,274.01,30,191.81,188.78,3.03,UPI,Standard,Completed
O0000176,U001437,S0008170,P000302,2025-03-18,5,204.77,5,972.66,738.35,234.31,Net Banking,Same Day,Cancelled
O0000177,U000769,S0008481,P000206,2024-05-06,5,137.26,25,514.72,393.85,120.87,Debit Card,Standard,Completed
O0000178,U000239,S0004048,P000026,2024-06-14,5,1786.99,30,6254.47,5978.85,275.62,Net Banking,Same Day,Completed
O0000179,U001214,S0000856,P000471,2025-08-22,2,70.05,10,126.09,102.48,23.61,Credit Card,Same Day,Returned
O0000180,U000399,S0006547,P000663,2024-04-09,5,163.56,0,817.8,496.35,321.45,Debit Card,Same Day,Completed
O0000181,U000837,S0007922,P000424,2024-04-25,5,56.5,10,254.25,205.2,49.05,Credit Card,Express,Completed
O0000182,U000878,S0009454,P000611,2024-08-25,3,37.09,0,111.27,66.06,45.21,Net Banking,Standard,Returned
O0000183,U000763,S0009146,P000741,2024-08-16,2,33.31,25,49.97,49.88,0.09,Debit Card,Express,Returned
O0000184,U000068,S0000867,P000395,2024-08-19,1,276.34,30,193.44,160.3,33.14,UPI,Same Day,Returned
O0000185,U001469,S0005517,P000814,2025-11-09,4,58.58,20,187.46,165.08,22.38,Credit Card,Same Day,Completed
O0000186,U001458,S0006459,P000565,2024-12-18,4,65.01,10,234.04,184.32,49.72,PayPal,Express,Returned
O0000187,U000106,S0005019,P000634,2025-10-13,5,16.02,0,80.1,47.95,32.15,Credit Card,Express,Completed
O0000188,U001133,S0006070,P000156,2024-04-28,1,27.18,30,19.03,18.66,0.37,PayPal,Same Day,Completed
O0000189,U000086,S0007220,P000641,2025-07-27,2,72.43,15,123.13,74.72,48.41,Credit Card,Same Day,Completed
O0000190,U000553,S0006155,P000782,2025-11-05,4,570.55,30,1597.54,1355.52,242.02,UPI,Same Day,Completed
O0000191,U001198,S0005705,P000258,2025-03-17,3,142.38,0,427.14,299.67,127.47,Debit Card,Standard,Completed
O0000192,U000345,S0001657,P000488,2024-09-10,2,108.11,20,172.98,114.38,58.6,Net Banking,Express,Completed
O0000193,U001609,S0008802,P000723,2024-10-03,3,10.11,25,22.75,16.62,6.13,UPI,Same Day,Cancelled
O0000194,U001742,S0002945,P000480,2025-03-11,5,109.62,25,411.08,344.9,66.18,PayPal,Standard,Cancelled
O0000195,U001131,S0001512,P000375,2024-02-14,5,1805.89,5,8577.98,4805.4,3772.58,PayPal,Standard,Completed
O0000196,U001748,S0008820,P000390,2024-12-25,3,715.88,15,1825.49,1602.12,223.37,Credit Card,Express,Cancelled
O0000197,U000825,S0009987,P000539,2024-07-20,4,279.95,25,839.85,557.04,282.81,UPI,Same Day,Completed
O0000198,U001131,S0001512,P000498,2024-02-14,2,98.55,5,187.24,145.4,41.84,Net Banking,Same Day,Completed
O0000199,U000699,S0008870,P000109,2025-06-17,4,182.28,30,510.38,488.28,22.1,Debit Card,Standard,Completed
O0000200,U001003,S0000566,P000873,2025-03-17,1,957.97,20,766.38,711.73,54.65,PayPal,Standard,Cancelled
O0000201,U000238,S0004706,P000377,2025-03-19,5,43.82,20,175.28,117.35,57.93,Credit Card,Same Day,Completed
O0000202,U000568,S0004710,P000359,2025-12-16,4,1560.51,20,4993.63,3182.84,1810.79,Debit Card,Express,Returned
O0000203,U000569,S0008052,P000818,2025-10-13,1,28.45,20,22.76,13.12,9.64,Credit Card,Same Day,Completed
O0000204,U001851,S0003115,P000172,2024-07-05,5,1426.12,5,6774.07,3750.65,3023.42,UPI,Express,Cancelled
O0000205,U001153,S0000250,P000606,2025-02-09,5,226.79,15,963.86,527.45,436.41,Net Banking,Express,Cancelled
O0000206,U000318,S0009125,P000293,2024-01-30,5,37.11,0,185.55,117.8,67.75,PayPal,Same Day,Returned
O0000207,U001559,S0009737,P000823,2025-02-24,1,13.28,10,11.95,6.21,5.74,UPI,Standard,Completed
O0000208,U001243,S0005169,P000791,2025-03-24,5,20.71,0,103.55,48.0,55.55,Credit Card,Same Day,Completed
O0000209,U000546,S0003037,P000894,2025-05-11,3,39.38,20,94.51,61.44,33.07,Debit Card,Same Day,Completed
O0000210,U001289,S0002662,P000902,2025-02-25,4,2475.55,5,9407.09,4839.6,4567.49,Debit Card,Same Day,Returned
O0000211,U000139,S0004088,P000865,2025-02-10,4,276.68,10,996.05,623.32,372.73,UPI,Standard,Completed
O0000212,U000356,S0003630,P000577,2025-02-20,2,35.04,10,63.07,43.94,19.13,Debit Card,Same Day,Completed
O0000213,U001853,S0002804,P000014,2024-02-21,1,221.76,10,199.58,133.09,66.49,Credit Card,Standard,Cancelled
O0000214,U001238,S0007566,P000059,2024-07-19,4,312.6,15,1062.84,642.08,420.76,Net Banking,Same Day,Cancelled
O0000215,U001768,S0001721,P000157,2025-03-26,4,16.02,15,54.47,32.32,22.15,Net Banking,Standard,Completed
O0000216,U000295,S0000418,P000741,2024-12-30,2,33.31,10,59.96,49.88,10.08,Net Banking,Express,Completed
O0000217,U000146,S0005592,P000414,2025-06-13,2,135.45,25,203.17,167.18,35.99,Net Banking,Same Day,Cancelled
O0000218,U000158,S0003792,P000311,2024-11-02,3,163.14,0,489.42,230.67,258.75,Net Banking,Same Day,Cancelled
O0000219,U001686,S0005594,P000481,2025-12-10,2,167.65,20,268.24,231.76,36.48,UPI,Express,Completed
O0000220,U001893,S0009702,P000689,2024-07-10,1,54.18,0,54.18,37.17,17.01,Net Banking,Same Day,Completed
O0000221,U000436,S0008340,P000313,2024-06-14,1,243.59,20,194.87,114.03,80.84,Debit Card,Same Day,Completed
O0000222,U000564,S0000889,P000566,2025-09-07,2,54.45,20,87.12,67.22,19.9,Net Banking,Same Day,Returned
O0000223,U000875,S0003126,P000007,2025-08-21,4,61.08,25,183.24,137.08,46.16,UPI,Same Day,Cancelled
O0000224,U001124,S0006885,P000314,2025-09-28,3,99.68,10,269.14,182.79,86.35,Net Banking,Same Day,Completed
O0000225,U000517,S0000500,P000118,2025-05-31,5,2086.85,15,8869.11,4982.4,3886.71,PayPal,Express,Completed
O0000226,U000136,S0001820,P000703,2025-01-02,4,134.65,15,457.81,390.12,67.69,Debit Card,Standard,Completed
O0000227,U000508,S0008554,P000230,2025-01-29,1,12.17,15,10.34,9.0,1.34,UPI,Same Day,Returned
O0000228,U001442,S0003574,P000668,2025-04-26,5,1995.91,15,8482.62,5943.0,2539.62,PayPal,Express,Completed
O0000229,U000910,S0008548,P000073,2024-04-07,1,76.32,10,68.69,50.15,18.54,UPI,Same Day,Returned
O0000230,U001902,S0004214,P000078,2024-06-24,1,49.71,20,39.77,31.59,8.18,PayPal,Express,Returned
O0000231,U000442,S0005899,P000215,2025-04-06,4,72.05,30,201.74,179.32,22.42,Net Banking,Standard,Completed
O0000232,U000438,S0003645,P000535,2024-03-21,3,52.92,20,127.01,88.62,38.39,Debit Card,Express,Cancelled
O0000233,U000801,S0007571,P000327,2025-08-23,1,1395.06,15,1185.8,727.45,458.35,PayPal,Same Day,Cancelled
